station,zone ,Wheelechair Access
Acton Town ,3,Street to Platform
Aldgate ,1,
Aldgate East ,1,
Alperton ,4,
Angel ,1,
Archway ,"2,3",
Armersham ,9,
Arnos Grove,4,
Arsenal ,2,
Baker Street ,1,
Balham ,3,
Bank ,1,
Barbican ,1,
Barking ,4,Street to Train
Barkingside ,4,
Barons Court ,2,
Bayswater,1,
Becontree ,5,
Belsize Park ,2,
Bermondsey ,2,Street to Platform
Bethnal Green ,2,
Blackfriars ,1,Street to Train
Blackhorse Road ,3,Street to Platform
Bond Street ,1,Street to Train
Borough ,1,
Boston Manor ,4,
Bounds Green ,"3,4",
Bow Road ,2,
Brent Cross ,3,
Brixton ,2,Street to Train
Bromley-by-Bow ,"2,3",Street to Platform
Buckhurst Hill ,5,Street to Platform
Burnt Oak ,4,
Caledonian Road ,2,Street to Train
Camden Town ,2,
Canada Water ,2,Street to Train
Canary Wharf ,2,Street to Train
Canning Town ,"2,3",Street to Train
Cannon Street ,1,
Canons park,5,
Chalfont & Latimer ,8,Street to  Train
Chalk Farm ,2,
Chancery Lane ,1,
Charing Cross ,1,
Chesham ,9,Street to Platform
Chigwell ,4,
Chiswick Park ,3,
Chorleywood ,7,Street to Train
Clapham Common ,2,
Clapham North ,2,
Clapham South ,"2,3",
Cockfosters ,5,
Colindale ,4,
Colliers Wood ,3,
Covent Garden,1,
Croxley ,7,
Dagenham East ,5,
Dagenham Heathway ,5,Street to Train
Debden ,6,
Dollis Hill ,3,
Ealing Broadway ,3,
Ealing Common ,3,
Earl's Court ,1,Street to Train
East Acton ,2,
East Finchley ,3,
East Ham ,"3,4",Street to Train
East Putney ,"2,3",
Eastcote ,5,
Edgware,5,Street to Train
Edgware Road ,1,
Elephant and Castle ,"1,2",
Elm Park ,6,Street to Train
Embankment ,1,
Epping ,6,Street to Platform
Euston  ,1,Street to Platform
Euston Square ,1,
Fairlop ,4,
Farringdon ,1,Street to Platform
Finchley Central ,4,Street to Train
Finchley Road ,2,
Finsbury Park ,2,Street to Train
Fulham Broadway,2,Street to Train
Gants Hill ,4,
Gloucester Road ,1,
Golders Green ,3,Street to Platform
Goldhawk Road ,2,
Goodge Street ,1,
Grange Hill ,4,
Great Portland Street ,1,
Green Park ,1,Street to Train
Greenford ,4,Street to Platform
Gunnersbury ,3,
Hainault ,4,Street to Platform
Hammersmith ,2,Street to Train
Hampstead ,"2,3",
Hanger Lane ,3,
Harlesden ,3,
Harrow & Wealdstone,5,Street to Platform
Harrow-on-the-Hill ,5,
Hatton Cross ,"5,6",
Heathrow Terminal 4 ,6,Street to Train
Heathrow Terminal 5 ,6,Street to Platform
"Heathrow Terminals 1,2,3 ",6,Street to Train
Hendon Central ,"3,4",Street to Train
High Barnet ,5,Street to Train
High Street Kensington ,1,
Highbury & Islington ,2,Street to Platform
Highgate ,3,
